zip,USAC_Gender,USAC_Age,Road_Cat,Track_Cat, XC_Cat, DH_Cat, OT_Cat, MX_Cat, Cross_Cat
49690,M,61,3,4,1,1,1,1,3
80305,M,51,2,2,2,2,3,2,3
60430,M,53,4,4,2,2,2,2,4
7762,M,58,3,4,2,3,3,3,3
83340,M,49,1,4,3,1,3,1,1
92065,M,58,2,5,1,1,1,2,3
77450,M,61,3,3,1,2,3,2,3
8028,M,53,2,5,1,1,3,1,1
80924,M,56,2,5,2,2,3,2,3
91321,M,73,5,5,1,1,3,1,3
7006,M,53,3,4,1,2,3,2,3
91748,M,65,5,5,3,3,3,3,5
14609,M,47,4,5,2,2,3,2,4
48911,M,50,4,5,1,1,3,1,5
4856,M,74,5,5,2,2,2,2,4
80503,M,48,3,5,1,3,3,3,3
6413,M,68,4,5,3,3,3,2,3
43235,M,52,3,3,2,2,3,3,4
80129,M,54,4,4,1,1,1,3,3
28806,M,46,4,5,3,3,3,3,4
27513,M,45,1,4,1,1,3,1,1
4222,M,56,3,5,1,2,3,2,3
70454,M,52,3,3,2,3,2,2,3
6762,M,60,3,4,2,2,2,2,3
98506,M,49,2,4,1,1,1,1,1
92663,M,52,3,5,1,3,3,3,4
28787,M,63,4,4,1,2,3,2,3
76051,F,63,4,4,3,3,3,3,4
1741,M,47,2,4,1,2,3,2,2
91711,M,45,1,5,1,1,2,1,1
63143,M,52,1,2,1,1,1,1,1
95076,M,47,2,4,1,1,2,1,1
87506,M,47,2,5,1,1,1,1,2
92624,M,50,2,4,2,3,3,3,2
2072,M,57,3,4,1,1,3,1,3
94901,M,50,2,4,1,1,3,1,2
29690,M,57,2,3,1,2,3,2,3
97214,M,51,5,5,3,3,3,3,5
45069,M,54,2,3,2,2,2,3,1
94707,M,58,1,1,3,3,3,3,1
92591,M,72,5,5,1,2,3,2,3
80403,M,50,3,5,2,2,3,3,2
99350,F,53,2,4,1,1,1,1,2
99117,M,41,3,2,2,2,3,2,3
27107,M,48,1,5,1,1,2,1,1
96786,F,54,4,4,1,1,1,1,2
78758,M,46,2,5,1,3,3,3,3
95003,M,59,2,4,1,1,3,1,2
31401,M,58,5,5,3,3,3,3,4
90278,M,51,1,2,1,1,1,1,1
98019,M,59,4,4,2,3,3,3,5
28125,M,45,1,2,3,3,3,3,4
33331,M,47,1,1,1,1,1,1,1
17042,M,75,3,4,2,2,2,2,3
8691,M,49,3,5,1,2,3,2,3
28209,M,53,4,5,2,2,3,2,4
94553,M,76,3,4,3,3,3,3,2
77006,M,53,5,5,1,1,1,1,3
1106,M,58,4,4,3,3,3,3,4
80303,M,40,2,5,1,2,3,2,1
22902,M,58,2,4,2,3,3,3,3
2420,M,58,2,3,2,2,2,2,3
80303,F,48,4,4,3,3,3,3,4
53211,M,49,3,4,1,1,1,3,4
19128,M,53,5,5,1,2,2,2,4
85260,M,57,3,5,1,1,1,1,1
80503,M,50,3,4,2,1,3,1,3
26501,M,47,3,4,2,2,2,2,4
7481,M,59,3,5,1,2,3,2,3
94122,M,50,2,4,1,2,3,2,1
44116,M,48,3,3,1,2,2,3,2
7834,M,50,4,5,2,3,3,3,5
73069,M,60,5,5,1,2,3,2,3
2879,M,49,3,5,2,2,3,2,3
98506,M,48,2,5,3,3,3,3,2
83814,M,48,2,4,1,1,3,1,1
85737,M,49,3,4,3,3,3,3,5
92801,M,61,4,4,2,3,3,3,5
97532,M,53,2,2,1,1,3,1,2
93927,M,71,5,5,3,3,3,3,5
13035,M,52,5,5,3,1,3,2,4
98102,M,70,3,4,2,2,3,2,4
19380,M,56,3,4,2,2,2,2,4
2916,M,41,1,4,2,2,3,2,2
94506,M,66,3,4,3,3,2,3,3
85023,M,49,3,2,2,2,3,2,4
96753,M,51,2,4,1,3,3,3,2
84094,F,67,4,4,3,3,3,3,4
63021,M,69,3,4,2,2,3,2,3
95664,M,53,4,5,2,2,3,2,3
93463,F,62,2,4,2,2,2,2,2
83716,M,50,2,4,1,1,3,1,2
95124,M,53,1,5,3,3,3,3,1
47906,M,55,3,5,3,3,3,3,3
84092,M,66,4,4,3,3,3,3,5
98115,M,52,4,4,2,1,3,1,3
38242,M,67,3,2,2,2,3,2,3
95826,M,56,2,2,3,3,3,3,2
81658,M,57,3,5,3,3,3,3,4
6032,M,45,3,3,1,2,2,2,3
95073,M,61,2,3,1,1,2,1,1
17042,M,62,3,5,1,1,3,1,3
80104,M,51,5,5,1,1,1,1,5
27606,M,48,3,4,1,2,2,3,3
6801,M,49,4,5,1,2,3,2,4
7719,M,62,3,4,3,3,3,3,3
82601,M,58,4,4,3,3,3,3,3
93063,M,44,5,5,2,1,3,1,5
86001,M,63,5,5,1,2,3,3,3
49341,M,54,3,5,1,2,3,2,3
44133,M,47,5,5,1,2,3,2,3
95046,M,61,4,3,1,2,2,2,5
